s.no,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
0,23-03-2019 20:21,23-03-2019 20:27,1,1.6,7,2.15,0,12.95,yellow,credit card,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan
1,04-03-2019 16:11,04-03-2019 16:19,1,0.79,5,0,0,9.3,yellow,cash,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2,27-03-2019 17:53,27-03-2019 18:00,1,1.37,7.5,2.36,0,14.16,yellow,credit card,Alphabet City,West Village,Manhattan,Manhattan
3,10-03-2019 01:23,10-03-2019 01:49,1,7.7,27,6.15,0,36.95,yellow,credit card,Hudson Sq,Yorkville West,Manhattan,Manhattan
4,30-03-2019 13:27,30-03-2019 13:37,3,2.16,9,1.1,0,13.4,yellow,credit card,Midtown East,Yorkville West,Manhattan,Manhattan
5,11-03-2019 10:37,11-03-2019 10:47,1,0.49,7.5,2.16,0,12.96,yellow,credit card,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
6,26-03-2019 21:07,26-03-2019 21:17,1,3.65,13,2,0,18.8,yellow,credit card,Battery Park City,Two Bridges/Seward Park,Manhattan,Manhattan
7,22-03-2019 12:47,22-03-2019 12:58,0,1.4,8.5,0,0,11.8,yellow,,Murray Hill,Flatiron,Manhattan,Manhattan
8,23-03-2019 11:48,23-03-2019 12:06,1,3.63,15,1,0,19.3,yellow,credit card,East Harlem South,Midtown Center,Manhattan,Manhattan
9,08-03-2019 16:18,08-03-2019 16:26,1,1.52,8,1,0,13.3,yellow,credit card,Lincoln Square East,Central Park,Manhattan,Manhattan
10,16-03-2019 10:02,16-03-2019 10:22,1,3.9,17,0,0,17.8,yellow,cash,LaGuardia Airport,Astoria,Queens,Queens
11,20-03-2019 19:39,20-03-2019 19:45,1,1.53,6.5,2.16,0,12.96,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan
12,18-03-2019 21:27,18-03-2019 21:34,1,1.05,6.5,1,0,11.3,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan
13,19-03-2019 07:55,19-03-2019 08:09,1,1.75,10.5,0,0,13.8,yellow,cash,Lincoln Square West,Times Sq/Theatre District,Manhattan,Manhattan
14,27-03-2019 12:13,27-03-2019 12:25,0,2.9,11.5,0,0,14.8,yellow,cash,Financial District North,Two Bridges/Seward Park,Manhattan,Manhattan
15,16-03-2019 17:53,16-03-2019 18:13,3,2.09,13.5,0,0,16.8,yellow,cash,Upper West Side North,Clinton East,Manhattan,Manhattan
16,15-03-2019 12:36,15-03-2019 12:54,1,2.12,13,0,0,16.3,yellow,cash,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan
17,23-03-2019 20:50,23-03-2019 21:02,1,2.6,10.5,2,0,16.3,yellow,credit card,Midtown Center,East Harlem South,Manhattan,Manhattan
18,27-03-2019 06:28,27-03-2019 06:38,1,2.18,9.5,1.92,0,14.72,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan
19,25-03-2019 22:04,25-03-2019 22:11,6,1.08,6.5,1.08,0,11.38,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan
20,21-03-2019 03:37,21-03-2019 03:44,1,1.07,6.5,1.54,0,11.84,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan
21,25-03-2019 23:05,25-03-2019 23:11,1,0.8,5.5,2.3,0,11.6,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
22,28-03-2019 17:20,28-03-2019 17:55,1,9.82,31.5,8.31,5.76,49.87,yellow,credit card,LaGuardia Airport,Sutton Place/Turtle Bay North,Queens,Manhattan
23,04-03-2019 12:15,04-03-2019 12:26,5,1.09,8.5,2.36,0,14.16,yellow,credit card,Sutton Place/Turtle Bay North,Midtown North,Manhattan,Manhattan
24,24-03-2019 09:53,24-03-2019 10:01,5,2.89,9.5,3.84,0,16.64,yellow,credit card,Lenox Hill West,Gramercy,Manhattan,Manhattan
25,25-03-2019 08:01,25-03-2019 08:13,1,1.9,10,3,0,16.3,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan
26,03-03-2019 02:45,03-03-2019 03:02,1,3.35,13.5,0,0,17.3,yellow,cash,West Chelsea/Hudson Yards,Seaport,Manhattan,Manhattan
27,16-03-2019 20:30,16-03-2019 20:46,1,2.6,12.5,3.26,0,19.56,yellow,credit card,Clinton East,Lenox Hill West,Manhattan,Manhattan
28,20-03-2019 12:25,20-03-2019 12:45,1,4.71,17.5,0,0,18.3,yellow,credit card,Clinton West,East Harlem North,Manhattan,Manhattan
29,06-03-2019 08:09,06-03-2019 08:27,1,0.92,12,0,0,15.3,yellow,cash,UN/Turtle Bay South,Garment District,Manhattan,Manhattan
30,10-03-2019 15:14,10-03-2019 15:20,1,1.84,7,2.06,0,12.36,yellow,credit card,Lenox Hill West,East Harlem South,Manhattan,Manhattan
31,01-03-2019 02:55,01-03-2019 02:57,3,0.74,4,0,0,7.8,yellow,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan
32,17-03-2019 19:24,17-03-2019 19:29,1,0.62,5.5,1,0,9.8,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
33,20-03-2019 22:29,20-03-2019 22:32,2,0.65,4.5,2.49,0,10.79,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan
34,21-03-2019 10:48,21-03-2019 10:57,2,0.87,7.5,2.16,0,12.96,yellow,credit card,Midtown North,Clinton West,Manhattan,Manhattan
35,01-03-2019 17:39,01-03-2019 18:04,1,3.06,17,4.26,0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Lenox Hill East,Manhattan,Manhattan
36,22-03-2019 17:28,22-03-2019 17:33,1,1.1,5.5,0,0,9.8,yellow,cash,Garment District,Flatiron,Manhattan,Manhattan
37,21-03-2019 18:41,21-03-2019 19:15,1,3.13,20.5,0,0,24.8,yellow,cash,Lenox Hill East,Garment District,Manhattan,Manhattan
38,18-03-2019 16:03,18-03-2019 16:10,2,1.13,6.5,2.16,0,12.96,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
39,25-03-2019 22:50,25-03-2019 22:59,1,2.47,10,2.76,0,16.56,yellow,credit card,Garment District,Upper West Side South,Manhattan,Manhattan
40,07-03-2019 15:15,07-03-2019 15:50,1,7.51,27,6.06,0,36.36,yellow,credit card,Flatiron,Carroll Gardens,Manhattan,Brooklyn
41,24-03-2019 18:42,24-03-2019 19:09,0,4.5,20,0,0,23.3,yellow,cash,TriBeCa/Civic Center,Kips Bay,Manhattan,Manhattan
42,30-03-2019 23:59,30-03-2019 23:59,1,0,80,20.08,0,100.38,yellow,credit card,,,,
43,27-03-2019 19:39,27-03-2019 20:00,1,9.5,28,0,5.76,35.06,yellow,cash,LaGuardia Airport,Washington Heights South,Queens,Manhattan
44,14-03-2019 07:19,14-03-2019 07:45,1,9.37,29.5,1,0,33.8,yellow,credit card,East Harlem South,Battery Park City,Manhattan,Manhattan
45,07-03-2019 11:19,07-03-2019 11:39,1,0.8,12.5,3.15,0,18.95,yellow,credit card,Lincoln Square East,Midtown East,Manhattan,Manhattan
46,20-03-2019 11:40,20-03-2019 12:06,2,4.7,20,0,0,23.3,yellow,cash,Times Sq/Theatre District,Battery Park City,Manhattan,Manhattan
47,13-03-2019 06:17,13-03-2019 06:21,2,1.15,5.5,2.64,0,11.44,yellow,credit card,Upper East Side North,Lenox Hill West,Manhattan,Manhattan
48,07-03-2019 16:49,07-03-2019 16:57,1,1.3,7,0,0,11.3,yellow,cash,Lincoln Square East,Times Sq/Theatre District,Manhattan,Manhattan
49,04-03-2019 21:35,04-03-2019 21:53,1,4.87,17.5,0,0,21.3,yellow,cash,West Village,Upper West Side South,Manhattan,Manhattan
50,16-03-2019 16:36,16-03-2019 16:54,2,1,11.5,0,0,14.8,yellow,cash,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
51,16-03-2019 17:38,16-03-2019 17:56,4,1.89,12,0,0,15.3,yellow,cash,Midtown North,Union Sq,Manhattan,Manhattan
52,21-03-2019 21:30,21-03-2019 21:39,2,0.9,7,2.15,0,12.95,yellow,credit card,Greenwich Village South,Meatpacking/West Village West,Manhattan,Manhattan
53,20-03-2019 18:49,20-03-2019 19:12,1,13.45,36,0,0,37.8,yellow,cash,JFK Airport,Sunnyside,Queens,Queens
54,24-03-2019 01:13,24-03-2019 01:24,1,2.8,10.5,2.85,0,17.15,yellow,credit card,East Village,Sutton Place/Turtle Bay North,Manhattan,Manhattan
55,14-03-2019 12:11,14-03-2019 12:40,1,3.43,19,4.46,0,26.76,yellow,credit card,Union Sq,Lincoln Square West,Manhattan,Manhattan
56,05-03-2019 17:57,05-03-2019 18:45,2,19.59,52,0,5.76,65.56,yellow,credit card,JFK Airport,Upper East Side North,Queens,Manhattan
57,17-03-2019 13:55,17-03-2019 14:01,4,0.71,5.5,1.76,0,10.56,yellow,credit card,UN/Turtle Bay South,Midtown Center,Manhattan,Manhattan
58,01-03-2019 23:21,01-03-2019 23:46,1,4.5,18.5,4.46,0,26.76,yellow,credit card,Garment District,Financial District North,Manhattan,Manhattan
59,09-03-2019 19:24,09-03-2019 19:33,3,0.82,7,2,0,12.3,yellow,credit card,TriBeCa/Civic Center,Lower East Side,Manhattan,Manhattan
60,01-03-2019 22:49,01-03-2019 22:53,1,0.9,5,0,0,6.3,yellow,credit card,East Harlem South,East Harlem North,Manhattan,Manhattan
61,13-03-2019 10:55,13-03-2019 11:23,2,2.4,17.5,0,0,20.8,yellow,cash,Times Sq/Theatre District,Lenox Hill East,Manhattan,Manhattan
62,21-03-2019 23:33,21-03-2019 23:36,1,0.44,4,0,0,7.8,yellow,cash,Flatiron,East Chelsea,Manhattan,Manhattan
63,28-03-2019 21:59,28-03-2019 22:04,4,1.02,5.5,0,0,9.3,yellow,cash,Penn Station/Madison Sq West,Garment District,Manhattan,Manhattan
64,26-03-2019 10:14,26-03-2019 10:26,6,1.38,9,3.08,0,15.38,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan
65,02-03-2019 19:08,02-03-2019 19:31,1,2.42,15.5,3.76,0,22.56,yellow,credit card,Hudson Sq,Times Sq/Theatre District,Manhattan,Manhattan
66,15-03-2019 13:42,15-03-2019 13:49,1,0.66,6,2.79,0,12.09,yellow,credit card,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan
67,04-03-2019 13:39,04-03-2019 13:58,1,3.3,15.5,0,0,18.8,yellow,cash,Garment District,Yorkville East,Manhattan,Manhattan
68,22-03-2019 02:22,22-03-2019 02:30,3,1.22,7.5,0,0,11.3,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
69,31-03-2019 15:43,31-03-2019 15:53,1,0.55,7.5,1.5,0,12.3,yellow,credit card,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
70,27-03-2019 19:27,27-03-2019 19:48,1,3.51,16.5,1,0,21.8,yellow,credit card,Union Sq,Upper East Side North,Manhattan,Manhattan
71,13-03-2019 07:34,13-03-2019 07:38,1,1.07,5.5,1.76,0,10.56,yellow,credit card,East Chelsea,Garment District,Manhattan,Manhattan
72,12-03-2019 15:44,12-03-2019 16:02,1,1.98,11.5,2.96,0,17.76,yellow,credit card,Yorkville West,Upper West Side North,Manhattan,Manhattan
73,29-03-2019 08:48,29-03-2019 08:56,1,1,6.5,1.95,0,11.75,yellow,credit card,Murray Hill,Union Sq,Manhattan,Manhattan
74,02-03-2019 23:05,02-03-2019 23:17,1,1.85,10,0,0,13.8,yellow,cash,Clinton East,Lenox Hill West,Manhattan,Manhattan
75,17-03-2019 01:28,17-03-2019 02:04,1,7.95,30,0,0,33.8,yellow,cash,Flatiron,Jackson Heights,Manhattan,Queens
76,09-03-2019 13:42,09-03-2019 13:48,1,1,6.5,0,0,9.8,yellow,cash,Upper East Side North,Midtown East,Manhattan,Manhattan
77,05-03-2019 15:41,05-03-2019 15:46,1,0.6,5,1.65,0,9.95,yellow,credit card,Midtown Center,Midtown Center,Manhattan,Manhattan
78,18-03-2019 19:57,18-03-2019 20:06,2,1.57,8.5,1.8,0,14.6,yellow,credit card,Central Park,Midtown North,Manhattan,Manhattan
79,17-03-2019 22:47,17-03-2019 22:55,1,1.3,7.5,2.25,0,13.55,yellow,credit card,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan
80,15-03-2019 23:46,15-03-2019 23:59,1,1.47,9.5,0,0,13.3,yellow,cash,Midtown East,Penn Station/Madison Sq West,Manhattan,Manhattan
81,16-03-2019 18:57,16-03-2019 19:00,2,0.4,4,0,0,7.3,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan
82,14-03-2019 11:55,14-03-2019 12:08,6,1.84,10,2.66,0,15.96,yellow,credit card,East Harlem South,Upper East Side South,Manhattan,Manhattan
83,16-03-2019 21:03,16-03-2019 21:21,1,2.5,12.5,1.5,0,17.8,yellow,credit card,Meatpacking/West Village West,Chinatown,Manhattan,Manhattan
84,09-03-2019 19:54,09-03-2019 20:07,2,1.5,9.5,0,0,12.8,yellow,cash,Gramercy,Penn Station/Madison Sq West,Manhattan,Manhattan
85,03-03-2019 16:44,03-03-2019 16:48,1,1.02,5,2.08,0,10.38,yellow,credit card,Kips Bay,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
86,04-03-2019 20:20,04-03-2019 20:24,1,0.6,5,0,0,6.3,yellow,cash,Morningside Heights,Morningside Heights,Manhattan,Manhattan
87,28-03-2019 22:57,28-03-2019 23:16,1,4.1,16,0,0,19.8,yellow,cash,Hudson Sq,Lincoln Square East,Manhattan,Manhattan
88,16-03-2019 05:08,16-03-2019 05:08,1,0.07,2.5,0,0,3.8,yellow,cash,Astoria,Astoria,Queens,Queens
89,27-03-2019 22:22,27-03-2019 22:41,1,5.99,20,5.95,0,29.75,yellow,credit card,Greenwich Village South,Yorkville West,Manhattan,Manhattan
90,07-03-2019 10:39,07-03-2019 11:05,5,2.55,16.5,0,0,19.8,yellow,cash,Midtown Center,Little Italy/NoLiTa,Manhattan,Manhattan
91,11-03-2019 08:46,11-03-2019 08:47,1,0.3,3,0.95,0,7.25,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
92,28-03-2019 07:05,28-03-2019 07:41,0,10.6,33.5,0,5.76,40.06,yellow,credit card,East Tremont,Midtown East,Bronx,Manhattan
93,12-03-2019 12:02,12-03-2019 12:17,3,0.66,9.5,1.2,0,14,yellow,credit card,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan
94,06-03-2019 20:00,06-03-2019 20:11,3,2.6,11,4.4,0,19.2,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan
95,28-03-2019 21:30,28-03-2019 21:42,1,1.6,9,2.55,0,15.35,yellow,credit card,Penn Station/Madison Sq West,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
96,13-03-2019 16:11,13-03-2019 16:28,1,3.21,13.5,0,0,17.8,yellow,cash,Financial District South,Downtown Brooklyn/MetroTech,Manhattan,Brooklyn
